time,setpoint,response,pwm,,Parameters
14842604,100.00,-2.32,0.00,,,
14858704,100.00,-3.87,0.00,,,
14886652,100.00,-3.10,0.00,,,
14902592,100.00,-3.10,0.00,,,
14929716,100.00,-3.87,0.00,,,
14951284,100.00,-3.87,0.00,,,
14975848,100.00,-3.87,0.00,,,
14991424,100.00,-3.87,0.00,,,
15020784,100.00,-3.87,0.00,,,
15039052,100.00,-3.87,0.00,,,
15061520,100.00,-3.87,0.00,,,
15084140,100.00,-3.87,0.00,,,
15110672,100.00,-5.42,0.00,,,
15129292,100.00,-8.52,0.00,,,
15160388,100.00,-14.72,0.00,,,
15179000,100.00,-20.14,0.00,,,
15209124,100.00,-31.77,0.00,,,
15232132,100.00,-42.61,0.00,,,
15255760,100.00,-52.69,0.00,,,
15280856,100.00,-58.11,0.00,,,
15306364,100.00,-61.21,0.00,,,
15330348,100.00,-63.53,0.00,,,
15358772,100.00,-63.53,0.00,,,
15376348,100.00,-63.53,0.00,,,
15406708,100.00,-63.53,0.00,,,
15424280,100.00,-63.53,0.00,,,
15454936,100.00,-63.53,0.00,,,
15475632,100.00,-63.53,0.00,,,
15506440,100.00,-63.53,0.00,,,
15522824,100.00,-63.53,0.00,,,
15553040,100.00,-65.08,0.00,,,
15578544,100.00,-67.41,0.00,,,
15611152,100.00,-73.61,0.00,,,
15632208,100.00,-79.80,0.00,,,
15663872,100.00,-89.88,0.00,,,
15688172,100.00,-97.62,0.00,,,
15717176,100.00,-106.15,0.00,,,
15737712,100.00,-111.57,0.00,,,
15780744,100.00,-124.74,0.00,,,
15804112,100.00,-131.71,0.00,,,
15838620,100.00,-143.34,0.00,,,
15856440,100.00,-149.54,0.00,,,
15889292,100.00,-161.16,0.00,,,
15907280,100.00,-167.36,0.00,,,
15945384,100.00,-180.53,0.00,,,
15969328,100.00,-187.50,0.00,,,
15994016,100.00,-192.92,0.00,,,
16011852,100.00,-195.25,0.00,,,
16037012,100.00,-197.57,0.00,,,
16055680,100.00,-199.12,0.00,,,
16094024,100.00,-199.90,0.00,,,
16113824,100.00,-199.90,0.00,,,
16142204,100.00,-199.90,0.00,,,
16160192,100.00,-199.90,0.00,,,
16182092,100.00,-199.90,0.00,,,
16200680,100.00,-199.90,0.00,,,
16228464,100.00,-199.90,0.00,,,
16244944,100.00,-199.90,0.00,,,
16270160,100.00,-199.90,0.00,,,
16288600,100.00,-199.90,0.00,,,
16314872,100.00,-199.90,0.00,,,
16331960,100.00,-199.90,0.00,,,
16359136,100.00,-199.90,0.00,,,
16376372,100.00,-199.90,0.00,,,
16399784,100.00,-199.90,0.00,,,
16420332,100.00,-199.90,0.00,,,
16454136,100.00,-199.90,0.00,,,
16473928,100.00,-199.90,0.00,,,
16500956,100.00,-199.90,0.00,,,
16515924,100.00,-199.90,0.00,,,
16539484,100.00,-199.90,0.00,,,
16573288,100.00,-199.90,0.00,,,
16606644,100.00,-199.90,0.00,,,
16624628,100.00,-199.90,0.00,,,
16649852,100.00,-199.90,0.00,,,
16667720,100.00,-199.90,12.00,,,
16700192,100.00,-171.23,12.00,,,
16717680,100.00,-139.46,12.00,,,
16742644,100.00,-84.45,12.00,,,
16762440,100.00,-34.87,12.00,,,
16791760,100.00,42.61,12.00,,,
16811484,100.00,96.07,2.35,,,
16839140,100.00,151.08,-12.00,,,
16857156,100.00,147.99,-12.00,,,
16886000,100.00,109.25,-5.79,,,
16904800,100.00,79.03,10.10,,,
16934940,100.00,75.93,12.00,,,
16952268,100.00,96.07,2.35,,,
16978492,100.00,124.74,-11.98,,,
16995092,100.00,122.42,-11.60,,,
17024408,100.00,92.98,3.51,,,
17041248,100.00,78.25,10.49,,,
17065416,100.00,86.00,7.00,,,
17083760,100.00,102.27,-0.75,,,
17110980,100.00,119.32,-9.66,,,
17126260,100.00,116.99,-8.88,,,
17153156,100.00,99.95,-0.36,,,
17170944,100.00,89.88,5.06,,,
17194000,100.00,83.68,8.16,,,
17213196,100.00,89.10,5.84,,,
17238724,100.00,101.50,-0.75,,,
17257280,100.00,110.02,-4.62,,,
17283288,100.00,112.35,-6.17,,,
17302176,100.00,107.70,-3.85,,,
17326372,100.00,99.17,0.41,,,
17344220,100.00,93.75,2.74,,,
17369852,100.00,90.65,4.67,,,
17389556,100.00,92.98,3.51,,,
17416992,100.00,98.40,0.80,,,
17433428,100.00,101.50,-0.75,,,
17457484,100.00,103.82,-1.91,,,
17473332,100.00,105.37,-2.69,,,
17499928,100.00,104.60,-2.30,,,
17515004,100.00,103.05,-1.91,,,
17539984,100.00,103.05,-1.52,,,
17557736,100.00,103.05,-1.52,,,
17583764,100.00,103.05,-1.52,,,
17599884,100.00,103.05,-1.52,,,
17629492,100.00,103.05,-1.52,,,
17646192,100.00,103.05,-1.52,,,
17670976,100.00,103.05,-1.52,,,
17688452,100.00,103.05,-1.52,,,
17722572,100.00,103.05,-1.52,,,
17740124,100.00,103.05,-1.52,,,
17769924,100.00,103.05,-1.52,,,
17783552,100.00,103.05,-1.52,,,
17813236,100.00,103.05,-1.52,,,
17833976,100.00,103.05,-1.52,,,
17862420,100.00,103.05,-1.52,,,
17879704,100.00,103.05,-1.52,,,
17906904,100.00,103.05,-1.52,,,
17928692,100.00,103.05,-1.52,,,
17954256,100.00,103.05,-1.52,,,
17969400,100.00,103.05,-1.52,,,
17993332,100.00,103.05,-1.52,,,
18009256,100.00,103.05,-1.52,,,
18039324,100.00,103.05,-1.52,,,
18055048,100.00,103.05,-1.52,,,
18080612,100.00,103.05,-1.52,,,
18098164,100.00,103.05,-1.52,,,
18124776,100.00,103.05,-1.52,,,
18140240,100.00,103.05,-1.52,,,
18168480,100.00,103.05,-1.52,,,
18186352,100.00,103.05,-1.52,,,
18209696,100.00,103.05,-1.52,,,
18229196,100.00,103.05,-1.52,,,
18253984,100.00,103.05,-1.52,,,
18270756,100.00,103.05,-1.52,,,
18301416,100.00,103.05,-1.52,,,
18317340,100.00,103.05,-1.52,,,
18341152,100.00,103.05,-1.52,,,
18361700,100.00,103.05,-1.52,,,
18386024,100.00,103.05,-1.52,,,
18402600,100.00,103.05,-1.52,,,
18432016,100.00,103.05,-1.52,,,
18447928,100.00,103.05,-1.52,,,
18470884,100.00,103.05,-1.52,,,
18491440,100.00,103.05,-1.52,,,
18517272,100.00,103.05,-1.52,,,
18533968,100.00,103.05,-1.52,,,
18561748,100.00,103.05,-1.52,,,
18579888,100.00,103.05,-1.52,,,
18602844,100.00,103.05,-1.52,,,
18621568,100.00,103.05,-1.52,,,
18650204,100.00,103.05,-1.52,,,
