time,setpoint,response,pwm,,Parameters
873734928,100.00,99.95,0.05,,,
873753184,100.00,99.95,0.05,,,
873778736,100.00,99.95,0.05,,,
873794084,100.00,99.95,0.05,,,
873817152,100.00,99.95,0.05,,,
873831636,100.00,99.95,0.05,,,
873855980,100.00,99.95,0.05,,,
873874932,100.00,99.95,0.05,,,
873899964,100.00,99.95,0.05,,,
873918572,100.00,99.95,0.05,,,
873947552,100.00,99.95,0.05,,,
873962560,100.00,99.95,0.05,,,
873987420,100.00,99.95,0.05,,,
874007056,100.00,99.95,0.05,,,
874037660,100.00,99.95,0.05,,,
874056604,100.00,99.95,0.05,,,
874089704,100.00,99.95,0.05,,,
874111560,100.00,99.95,0.05,,,
874144828,100.00,99.95,0.05,,,
874161880,100.00,99.95,0.05,,,
874195148,100.00,99.95,0.05,,,
874217176,100.00,99.95,0.05,,,
874247092,100.00,99.95,0.05,,,
874262620,100.00,99.95,0.05,,,
874311140,100.00,99.95,0.05,,,
874327256,100.00,99.95,0.05,,,
874357004,100.00,99.95,0.05,,,
874378516,100.00,99.95,0.05,,,
874404580,100.00,99.95,0.05,,,
874423608,100.00,99.95,0.05,,,
874451132,100.00,99.95,0.05,,,
874470848,100.00,99.95,0.05,,,
874497168,100.00,99.95,0.05,,,
874511824,100.00,99.95,0.05,,,
874536856,100.00,99.95,0.05,,,
874553912,100.00,99.95,0.05,,,
874585208,100.00,99.95,0.05,,,
874604152,100.00,99.95,0.05,,,
874631156,100.00,99.95,0.05,,,
874647792,100.00,99.95,0.05,,,
874673424,100.00,99.95,0.05,,,
874699320,100.00,99.95,0.05,,,
874728296,100.00,99.95,0.05,,,
874743824,100.00,99.95,0.05,,,
874773048,100.00,99.95,0.05,,,
874792856,100.00,99.95,0.05,,,
874820808,100.00,99.95,0.05,,,
874840860,100.00,99.95,0.05,,,
874867872,100.00,99.95,0.05,,,
874883128,100.00,99.95,0.05,,,
874908504,100.00,99.95,0.05,,,
874921876,100.00,99.95,0.05,,,
874947608,100.00,99.95,0.05,,,
874964576,100.00,99.95,0.05,,,
874990648,100.00,99.95,0.05,,,
875005820,100.00,99.95,0.05,,,
875037540,100.00,99.95,0.05,,,
875075616,100.00,99.95,0.05,,,
875122680,100.00,99.95,0.05,,,
875147888,100.00,99.95,0.05,,,
875178076,100.00,99.95,0.05,,,
875194880,100.00,99.95,0.05,,,
875220260,100.00,99.95,0.05,,,
875236968,100.00,99.95,0.05,,,
875263972,100.00,99.95,0.05,,,
875279748,100.00,99.95,0.05,,,
875306240,100.00,99.95,0.05,,,
875321836,100.00,99.95,0.05,,,
875349020,100.00,99.95,0.05,,,
875364788,100.00,99.95,0.05,,,
875391280,100.00,99.95,0.05,,,
875406972,100.00,99.95,0.05,,,
875430896,100.00,99.95,0.05,,,
875447612,100.00,99.95,0.05,,,
875471192,100.00,99.95,0.05,,,
875486024,100.00,99.95,0.05,,,
875508228,100.00,99.95,0.05,,,
875522128,100.00,99.95,0.05,,,
875548268,100.00,99.95,0.05,,,
875566184,100.00,99.95,0.05,,,
875587868,100.00,99.95,0.05,,,
875603900,100.00,99.95,0.05,,,
875646168,100.00,99.95,0.05,,,
875666052,100.00,99.95,0.05,,,
875695796,100.00,99.95,0.05,,,
875713884,100.00,99.95,0.05,,,
875736776,100.00,99.95,0.05,,,
875752720,100.00,99.95,0.05,,,
875780836,100.00,99.95,0.05,,,
875803040,100.00,99.95,0.05,,,
875827900,100.00,99.95,0.05,,,
875845392,100.00,99.95,0.05,,,
875870080,100.00,99.95,0.05,,,
875885608,100.00,99.95,0.05,,,
875911920,100.00,99.95,0.05,,,
875930180,100.00,99.95,0.05,,,
875953668,100.00,99.95,0.05,,,
875970644,100.00,99.95,0.05,,,
875995676,100.00,99.95,0.05,,,
876009224,100.00,99.95,0.05,,,
876030832,100.00,99.95,0.05,,,
876047640,100.00,99.95,0.05,,,
876074132,100.00,99.95,0.05,,,
876086988,100.00,99.95,0.05,,,
876112712,100.00,99.95,0.05,,,
876133636,100.00,99.95,0.05,,,
876156012,100.00,99.95,0.05,,,
876169640,100.00,99.95,0.05,,,
876194156,100.00,99.95,0.05,,,
876212248,100.00,99.95,0.05,,,
876235828,100.00,99.95,0.05,,,
876251940,100.00,99.95,0.05,,,
876280572,100.00,99.95,0.05,,,
876298064,100.00,99.95,0.05,,,
876321132,100.00,99.95,0.05,,,
876337420,100.00,99.95,0.05,,,
876360480,100.00,99.95,0.05,,,
876374284,100.00,99.95,0.05,,,
876399836,100.00,99.95,0.05,,,
876415016,100.00,99.95,0.05,,,
876441332,100.00,99.95,0.05,,,
876454368,100.00,99.95,0.05,,,
876475884,100.00,99.95,0.05,,,
876492684,100.00,99.95,0.05,,,
876515924,100.00,99.95,0.05,,,
876532384,100.00,99.95,0.05,,,
876556316,100.00,99.95,0.05,,,
876570972,100.00,99.95,0.05,,,
876597804,100.00,99.95,0.05,,,
876614604,100.00,99.95,0.05,,,
876642896,100.00,99.95,0.05,,,
876660048,100.00,99.95,0.05,,,
876684316,100.00,99.95,0.05,,,
876702400,100.00,99.95,0.05,,,
876724604,100.00,99.95,0.05,,,
876741752,100.00,99.95,0.05,,,
876765584,100.00,99.95,0.05,,,
876786328,100.00,99.95,0.05,,,
876813340,100.00,99.95,0.05,,,
876832112,100.00,99.95,0.05,,,
876857740,100.00,99.95,0.05,,,
